NAME	TITLE	SCORE	
RGL2		2.9886217	
GNB2L1		2.9868345	
LINC00847		2.9698482	
PYCR2		2.9639688	
MDM4		2.9597263	
SAMD10		2.9556425	
KIAA0895L		2.9264944	
TP53TG1		2.9255133	
C16orf74		2.9117289	
IQCA1		2.907266	
CA9		2.8929286	
CYP2C8		2.890515	
BARX1		2.8833804	
PGPEP1		2.8772085	
SMIM15		2.8657327	
GAS5		2.863893	
SH2D4A		2.8592875	
KLHL31		2.858323	
NLGN4X		2.857116	
GSDMB		2.8550513	
PCP2		2.8529642	
ZBED5		2.8502946	
ODF2L		2.8442488	
ST3GAL5		2.8435762	
TMEM51		2.8429666	
JMJD7-PLA2G4B		2.8424766	
RFX7		2.8267186	
KRTAP5-7		2.8247018	
NAT8B		2.8171875	
ARV1		2.8105998	
APOL2		2.80923	
SNHG8		2.8073444	
NGRN		2.804545	
ACY1		2.8012886	
MZF1		2.7938774	
GPR39		2.785173	
TUBGCP6		2.7776985	
NUDT12		2.7747216	
LUC7L3		2.7713428	
TMEM129		2.7699642	
MAPK10		2.7643127	
RIC3		2.7619426	
TADA2B		2.757787	
DGCR6		2.7570167	
ZNF626		2.7404776	
LOC148696		2.7273805	
THAP4		2.725475	
TRA2A		2.7238958	
MKNK2		2.7180512	
RASSF7		2.7169213	
PDE10A		2.7136157	
HS6ST3		2.7123551	
PRKCD		2.7117836	
S100A5		2.7116294	
NDRG4		2.7084534	
PIK3R2		2.7079613	
ACYP2		2.7064204	
ZMYND8		2.7005289	
TMEM63C		2.697236	
ZNF721		2.6955245	
CYBA		2.6938176	
ZNF440		2.6914625	
RIPK3		2.689484	
DDIT4		2.6841698	
NT5DC1		2.679616	
ZNF552		2.6769996	
NEAT1		2.674488	
REN		2.6714728	
PLA2G4F		2.6664047	
PLA2G10		2.662272	
LINC00887		2.661557	
LAMTOR3		2.6583526	
CASP8		2.6578135	
GLTSCR2		2.654123	
PPFIA4		2.6514637	
SERPINB5		2.6498642	
LPCAT4		2.6433928	
UBE2Q2P1		2.6432643	
PICK1		2.6405876	
IKBKB		2.6340287	
MAN2C1		2.6312783	
CACNA1I		2.6261303	
STX1A		2.6243663	
WNT5A		2.6234136	
MSRA		2.6131256	
CDC42EP5		2.613092	
TNFRSF14		2.610723	
LRRC49		2.607524	
HID1		2.6053376	
FAM83A-AS1		2.6037722	
IRS1		2.587529	
TMEM92		2.5863845	
DUSP27		2.5860724	
SLC6A10P		2.5860488	
TTC8		2.581796	
FAM174A		2.574903	
GPD1L		2.5664248	
CASP1		2.5635633	
NXF1		2.559823	
FCHSD1		2.55649	
PPIL3		2.5536134	
ZBTB7C		2.5520954	
RIPK4		2.5519972	
CTBP1		2.5437484	
AMT		2.543054	
OR3A2		2.5286975	
ALDH4A1		2.5193374	
CLCN3		2.5191116	
GOLGA2P10		2.5181642	
CTSH		2.5181475	
MTRF1		2.5166502	
SRP14		2.5162065	
KLRAP1		2.5126305	
WNT10A		2.5044646	
SCAND2P		2.4922419	
NAT8		2.4889038	
MR1		2.4878712	
GAPDH		2.477413	
CCDC96		2.4753473	
FAT2		2.4712026	
FBXW4		2.4702878	
ACIN1		2.4645174	
ABHD17C		2.4631486	
CASKIN1		2.4478326	
EXOC7		2.4454076	
TMEM181		2.4429438	
RPL34		2.4381812	
KCTD11		2.434951	
COMT		2.4339504	
ZFP3		2.4300003	
MOB3C		2.4208488	
ATP2C2		2.4199405	
TINAGL1		2.4175756	
RPL10A		2.4136398	
ZBTB7A		2.4134161	
ZNF792		2.4134016	
STON2		2.4099138	
DTWD2		2.4089873	
SLC44A5		2.406944	
RPS2		2.4023914	
PADI4		2.4018602	
MSH3		2.4006302	
ZMYM2		2.3981059	
CLK3		2.396063	
LPAL2		2.3895211	
SLC25A12		2.3804574	
SLC22A18AS		2.3766148	
NSUN5P2		2.3720064	
CCNL2		2.369903	
CYP4B1		2.3595283	
SPATA7		2.3522556	
PPIEL		2.3512301	
SLC26A1		2.347465	
GTF2IRD1P1		2.3454745	
ST3GAL1		2.3417494	
TOB2		2.3393888	
ZFPM1		2.3385153	
CSTB		2.3257015	
GNRH2		2.3250499	
XKR6		2.3157647	
VPS36		2.3142765	
N4BP2L2-IT2		2.3056102	
PLEKHH1		2.2944746	
LRRC75A-AS1		2.2934084	
HOXD8		2.2830553	
SLC6A8		2.2767622	
MFSD8		2.2767334	
DEGS2		2.2761126	
EEF1A1P9		2.27567	
HARS2		2.2728329	
CCDC115		2.2717206	
ACP6		2.2696338	
ZNF204P		2.2634833	
INAVA		2.260972	
ZSCAN32		2.253913	
PRPF40B		2.2441232	
AP3M2		2.2358882	
RPS23		2.2352033	
BLOC1S4		2.2335012	
EEF1A1		2.2284703	
LAMB3		2.2275157	
IRX5		2.2268765	
VCX3A		2.2215397	
DNAJC28		2.216676	
ALDOC		2.2164786	
RAB11A		2.211693	
NSUN5P1		2.2108595	
NPAS2		2.206176	
TDH		2.2058084	
JPH4		2.1997335	
PYCARD		2.193961	
EPB41L4A-AS1		2.1922207	
GNRHR2		2.1917522	
TMEM205		2.1901445	
